n,bitflipelltwo,bitflipprojchi,genrrchi,genrrelltwo,lapuelltwo
500,0.47,0.435,0.155,0.25,0.19
1000,0.88,0.85,0.345,0.45,0.415
1500,0.99,0.98,0.545,0.695,0.635
2000,1.0,0.995,0.695,0.825,0.84
2500,1.0,1.0,0.775,0.9,0.945
3000,1.0,1.0,0.89,0.955,0.985
3500,1.0,1.0,0.945,0.975,0.99
4000,1.0,1.0,0.985,1.0,0.995
4500,1.0,1.0,0.995,1.0,1.0
5000,1.0,1.0,0.995,1.0,1.0
5500,1.0,1.0,1.0,1.0,1.0
6000,1.0,1.0,1.0,1.0,1.0
6500,1.0,1.0,1.0,1.0,1.0
7000,1.0,1.0,1.0,1.0,1.0
7500,1.0,1.0,1.0,1.0,1.0
8000,1.0,1.0,1.0,1.0,1.0
8500,1.0,1.0,1.0,1.0,1.0
9000,1.0,1.0,1.0,1.0,1.0
9500,1.0,1.0,1.0,1.0,1.0
10000,1.0,1.0,1.0,1.0,1.0
