n,bitflipelltwo,bitflipprojchi,genrrchi,genrrelltwo,lapuelltwo
10000,0.315,0.315,0.075,0.065,0.165
20000,0.755,0.755,0.065,0.07,0.28
30000,0.94,0.94,0.065,0.07,0.525
40000,0.985,0.98,0.13,0.125,0.65
50000,0.995,0.995,0.145,0.15,0.845
60000,1.0,1.0,0.16,0.155,0.925
70000,1.0,1.0,0.16,0.16,0.985
80000,1.0,1.0,0.16,0.15,1.0
90000,1.0,1.0,0.215,0.21,1.0
100000,1.0,1.0,0.27,0.275,1.0
110000,1.0,1.0,0.265,0.27,1.0
120000,1.0,1.0,0.285,0.275,1.0
130000,1.0,1.0,0.325,0.325,1.0
140000,1.0,1.0,0.37,0.385,1.0
150000,1.0,1.0,0.44,0.44,1.0
160000,1.0,1.0,0.475,0.485,1.0
170000,1.0,1.0,0.535,0.54,1.0
180000,1.0,1.0,0.58,0.58,1.0
190000,1.0,1.0,0.63,0.635,1.0
200000,1.0,1.0,0.695,0.695,1.0
