n,bitflipelltwo,genrrelltwo,lapuelltwo
10000,0.075,0.05,0.055
20000,0.145,0.035,0.065
30000,0.225,0.05,0.1
40000,0.275,0.065,0.15
50000,0.41,0.04,0.155
60000,0.502,0.061,0.213
70000,0.615,0.047,0.255
80000,0.704,0.052,0.287
90000,0.751,0.055,0.349
100000,0.802,0.065,0.374
110000,0.83,0.063,0.432
120000,0.864,0.046,0.497
130000,0.914,0.049,0.542
140000,0.932,0.054,0.581
150000,0.948,0.066,0.633
160000,0.958,0.067,0.672
170000,0.995,0.069,0.713
180000,0.969,0.071,0.762
190000,0.975,0.082,0.8
200000,1.0,0.07,0.825
