n,bitflipelltwo,bitflipprojchi,genrrchi,genrrelltwo,lapuelltwo
10000,0.04,0.05,0.055,0.05,
20000,0.025,0.03,0.045,0.035,
30000,0.085,0.07,0.05,0.05,0.05
40000,0.085,0.08,0.055,0.05,0.06
50000,0.095,0.085,0.045,0.045,0.085
60000,0.13,0.13,0.04,0.04,0.08
70000,0.14,0.13,0.035,0.035,0.075
80000,0.14,0.155,0.04,0.04,0.105
90000,0.17,0.185,0.04,0.04,0.125
100000,0.2,0.195,0.05,0.04,0.075
110000,0.18,0.175,0.05,0.055,0.1
120000,0.215,0.185,0.06,0.055,0.115
130000,0.295,0.275,0.03,0.03,0.135
140000,0.305,0.315,0.07,0.07,0.17
150000,0.31,0.315,0.06,0.06,0.15
160000,0.295,0.305,0.06,0.065,0.14
170000,0.36,0.355,0.085,0.085,0.15
180000,0.34,0.365,0.075,0.075,0.14
190000,0.355,0.365,0.065,0.065,0.17
200000,0.4,0.4,0.065,0.065,0.175
