n,bitflipelltwo,bitflipprojchi,disclapuelltwo,genrrchi,lapuelltwo
1500,0.07,0.07,0.06,0.035,0.055
3000,0.11,0.1,0.075,0.06,0.1
4500,0.14,0.11,0.1,0.055,0.1
6000,0.19,0.17,0.095,0.065,0.07
7500,0.275,0.25,0.12,0.07,0.115
9000,0.265,0.31,0.17,0.055,0.16
10500,0.325,0.34,0.2,0.04,0.18
12000,0.355,0.395,0.19,0.08,0.225
13500,0.435,0.49,0.22,0.08,0.185
15000,0.475,0.55,0.2,0.09,0.26
16500,0.545,0.575,0.28,0.105,0.285
18000,0.605,0.64,0.31,0.105,0.305
19500,0.675,0.69,0.28,0.125,0.29
21000,0.68,0.7,0.32,0.11,0.31
22500,0.745,0.76,0.325,0.11,0.355
24000,0.76,0.825,0.405,0.12,0.415
25500,0.83,0.84,0.48,0.12,0.425
27000,0.81,0.87,0.475,0.14,0.465
28500,0.88,0.91,0.465,0.135,0.51
30000,0.905,0.94,0.525,0.165,0.55
