n,bitflipelltwo,bitflipprojchi,disclapuelltwo,genrrchi,genrrelltwo,lapuelltwo
1000,0.295,0.285,,0.38,0.4,0.16
2000,0.455,0.535,0.2190082644628099,0.735,0.76,0.3
3000,0.585,0.655,,0.915,0.915,0.45
4000,0.795,0.82,0.4331983805668016,0.975,0.96,0.535
5000,0.9,0.925,,1.0,0.98,0.56
6000,0.97,0.98,0.5983606557377049,1.0,0.995,0.66
7000,0.99,0.99,,0.995,0.995,0.73
8000,0.965,0.985,0.7178423236514523,1.0,1.0,0.78
9000,0.985,0.99,,1.0,1.0,0.845
10000,1.0,1.0,0.7521008403361344,1.0,1.0,0.895
11000,1.0,1.0,,1.0,1.0,0.97
12000,1.0,1.0,0.8491379310344828,1.0,1.0,0.96
13000,1.0,1.0,,1.0,1.0,0.955
14000,1.0,1.0,0.8487394957983193,1.0,1.0,0.97
15000,1.0,1.0,,1.0,1.0,0.97
16000,1.0,1.0,0.8468085106382979,1.0,1.0,0.985
17000,1.0,1.0,,1.0,1.0,0.99
18000,1.0,1.0,0.9045454545454545,1.0,1.0,1.0
19000,1.0,1.0,,1.0,1.0,1.0
20000,1.0,1.0,0.9220183486238532,1.0,1.0,1.0
