cuda:1
lapu_ell2
privacy level = 2.0
tensor([0.2100, 0.2900, 0.2100, 0.2900])
tensor([0.2900, 0.2100, 0.2900, 0.2100])


#########################################
sample size = 1000
tensor(0.1271, device='cuda:1')
pval: 0.014000000432133675 -- 1th test, time elapsed 13.916820287704468 -- emperical power so far: 1.0
tensor(0.1758, device='cuda:1')
pval: 0.004000000189989805 -- 2th test, time elapsed 2.103677749633789 -- emperical power so far: 1.0
tensor(-0.0123, device='cuda:1')
pval: 0.5080000162124634 -- 3th test, time elapsed 2.100757360458374 -- emperical power so far: 0.6666666666666666
tensor(0.2650, device='cuda:1')
pval: 0.0020000000949949026 -- 4th test, time elapsed 2.11932110786438 -- emperical power so far: 0.75
tensor(0.0107, device='cuda:1')
pval: 0.32100000977516174 -- 5th test, time elapsed 2.094630479812622 -- emperical power so far: 0.6
tensor(0.2494, device='cuda:1')
pval: 0.003000000026077032 -- 6th test, time elapsed 2.2629427909851074 -- emperical power so far: 0.6666666666666666
tensor(-0.0194, device='cuda:1')
pval: 0.581000030040741 -- 7th test, time elapsed 2.1407041549682617 -- emperical power so far: 0.5714285714285714
tensor(0.2089, device='cuda:1')
pval: 0.003000000026077032 -- 8th test, time elapsed 2.07621169090271 -- emperical power so far: 0.625
tensor(0.1325, device='cuda:1')
pval: 0.030000001192092896 -- 9th test, time elapsed 2.16695499420166 -- emperical power so far: 0.6666666666666666
tensor(0.0018, device='cuda:1')
pval: 0.4000000059604645 -- 10th test, time elapsed 2.118217706680298 -- emperical power so far: 0.6
tensor(0.1073, device='cuda:1')
pval: 0.04500000178813934 -- 11th test, time elapsed 2.1328015327453613 -- emperical power so far: 0.6363636363636364
tensor(0.3272, device='cuda:1')
pval: 0.0010000000474974513 -- 12th test, time elapsed 2.103161334991455 -- emperical power so far: 0.6666666666666666
tensor(0.1871, device='cuda:1')
pval: 0.007000000216066837 -- 13th test, time elapsed 2.0783112049102783 -- emperical power so far: 0.6923076923076923
tensor(0.1212, device='cuda:1')
pval: 0.03500000014901161 -- 14th test, time elapsed 2.110589027404785 -- emperical power so far: 0.7142857142857143
tensor(0.0441, device='cuda:1')
pval: 0.14500001072883606 -- 15th test, time elapsed 2.1084938049316406 -- emperical power so far: 0.6666666666666666
tensor(0.0007, device='cuda:1')
pval: 0.3790000081062317 -- 16th test, time elapsed 2.144381284713745 -- emperical power so far: 0.625
tensor(0.0187, device='cuda:1')
pval: 0.3050000071525574 -- 17th test, time elapsed 2.104863166809082 -- emperical power so far: 0.5882352941176471
tensor(0.1293, device='cuda:1')
pval: 0.024000000208616257 -- 18th test, time elapsed 2.0853517055511475 -- emperical power so far: 0.6111111111111112
tensor(0.0803, device='cuda:1')
pval: 0.06400000303983688 -- 19th test, time elapsed 2.0774924755096436 -- emperical power so far: 0.5789473684210527
tensor(-0.0156, device='cuda:1')
pval: 0.534000039100647 -- 20th test, time elapsed 2.1033806800842285 -- emperical power so far: 0.55
tensor(0.1299, device='cuda:1')
pval: 0.021000001579523087 -- 21th test, time elapsed 2.0964748859405518 -- emperical power so far: 0.5714285714285714
tensor(0.2481, device='cuda:1')
pval: 0.0020000000949949026 -- 22th test, time elapsed 2.083224296569824 -- emperical power so far: 0.5909090909090909
tensor(0.0845, device='cuda:1')
pval: 0.06200000271201134 -- 23th test, time elapsed 2.1188433170318604 -- emperical power so far: 0.5652173913043478
tensor(0.0503, device='cuda:1')
pval: 0.1469999998807907 -- 24th test, time elapsed 2.1022467613220215 -- emperical power so far: 0.5416666666666666
tensor(0.0183, device='cuda:1')
pval: 0.2800000011920929 -- 25th test, time elapsed 2.0825278759002686 -- emperical power so far: 0.52
tensor(0.0569, device='cuda:1')
pval: 0.13900001347064972 -- 26th test, time elapsed 2.105013132095337 -- emperical power so far: 0.5
tensor(0.1620, device='cuda:1')
pval: 0.00800000037997961 -- 27th test, time elapsed 2.083498239517212 -- emperical power so far: 0.5185185185185185
tensor(0.2176, device='cuda:1')
pval: 0.004000000189989805 -- 28th test, time elapsed 2.119863986968994 -- emperical power so far: 0.5357142857142857
tensor(0.2399, device='cuda:1')
pval: 0.0010000000474974513 -- 29th test, time elapsed 2.0797173976898193 -- emperical power so far: 0.5517241379310345
tensor(0.2062, device='cuda:1')
pval: 0.003000000026077032 -- 30th test, time elapsed 2.0966784954071045 -- emperical power so far: 0.5666666666666667
tensor(0.1379, device='cuda:1')
pval: 0.027000000700354576 -- 31th test, time elapsed 2.095285415649414 -- emperical power so far: 0.5806451612903226
tensor(-0.0297, device='cuda:1')
pval: 0.6720000505447388 -- 32th test, time elapsed 2.0868468284606934 -- emperical power so far: 0.5625
tensor(0.0813, device='cuda:1')
pval: 0.07700000703334808 -- 33th test, time elapsed 2.1265079975128174 -- emperical power so far: 0.5454545454545454
tensor(0.1489, device='cuda:1')
pval: 0.013000000268220901 -- 34th test, time elapsed 2.074519634246826 -- emperical power so far: 0.5588235294117647
tensor(0.0156, device='cuda:1')
pval: 0.2930000126361847 -- 35th test, time elapsed 2.0925614833831787 -- emperical power so far: 0.5428571428571428
tensor(0.2640, device='cuda:1')
pval: 0.0010000000474974513 -- 36th test, time elapsed 2.077404022216797 -- emperical power so far: 0.5555555555555556
tensor(-0.0230, device='cuda:1')
pval: 0.6390000581741333 -- 37th test, time elapsed 2.125997543334961 -- emperical power so far: 0.5405405405405406
tensor(0.0871, device='cuda:1')
pval: 0.06000000238418579 -- 38th test, time elapsed 2.1050360202789307 -- emperical power so far: 0.5263157894736842
tensor(0.0778, device='cuda:1')
pval: 0.07800000160932541 -- 39th test, time elapsed 2.108391046524048 -- emperical power so far: 0.5128205128205128
tensor(0.0733, device='cuda:1')
pval: 0.09200000762939453 -- 40th test, time elapsed 2.115994453430176 -- emperical power so far: 0.5
tensor(-0.0227, device='cuda:1')
