cuda:1
lapu_ell2
privacy level = 0.5
tensor([0.2100, 0.2900, 0.2100, 0.2900])
tensor([0.2900, 0.2100, 0.2900, 0.2100])


#########################################
sample size = 1000
tensor(-0.2585, device='cuda:1')
pval: 0.5400000214576721 -- 1th test, time elapsed 12.88772702217102 -- emperical power so far: 0.0
tensor(0.8451, device='cuda:1')
pval: 0.12200000882148743 -- 2th test, time elapsed 2.2333126068115234 -- emperical power so far: 0.0
tensor(0.1968, device='cuda:1')
pval: 0.3020000159740448 -- 3th test, time elapsed 2.2658464908599854 -- emperical power so far: 0.0
tensor(1.3676, device='cuda:1')
pval: 0.05300000309944153 -- 4th test, time elapsed 2.233083724975586 -- emperical power so far: 0.0
tensor(0.1054, device='cuda:1')
pval: 0.3460000157356262 -- 5th test, time elapsed 2.214895248413086 -- emperical power so far: 0.0
tensor(1.3318, device='cuda:1')
pval: 0.046000003814697266 -- 6th test, time elapsed 2.2094385623931885 -- emperical power so far: 0.16666666666666666
tensor(-0.8603, device='cuda:1')
pval: 0.9450000524520874 -- 7th test, time elapsed 2.244422674179077 -- emperical power so far: 0.14285714285714285
tensor(1.6489, device='cuda:1')
pval: 0.03400000184774399 -- 8th test, time elapsed 2.203204870223999 -- emperical power so far: 0.25
tensor(0.3477, device='cuda:1')
pval: 0.25200000405311584 -- 9th test, time elapsed 2.212294816970825 -- emperical power so far: 0.2222222222222222
tensor(-0.7394, device='cuda:1')
pval: 0.878000020980835 -- 10th test, time elapsed 2.2370972633361816 -- emperical power so far: 0.2
tensor(-0.3842, device='cuda:1')
pval: 0.6850000619888306 -- 11th test, time elapsed 2.182483434677124 -- emperical power so far: 0.18181818181818182
tensor(1.8877, device='cuda:1')
pval: 0.02800000086426735 -- 12th test, time elapsed 2.221336841583252 -- emperical power so far: 0.25
tensor(0.4141, device='cuda:1')
pval: 0.2330000102519989 -- 13th test, time elapsed 2.203860282897949 -- emperical power so far: 0.23076923076923078
tensor(0.3992, device='cuda:1')
pval: 0.24300001561641693 -- 14th test, time elapsed 2.194880723953247 -- emperical power so far: 0.21428571428571427
tensor(1.3740, device='cuda:1')
pval: 0.0430000014603138 -- 15th test, time elapsed 2.2267990112304688 -- emperical power so far: 0.26666666666666666
tensor(-0.4355, device='cuda:1')
pval: 0.6760000586509705 -- 16th test, time elapsed 2.2000555992126465 -- emperical power so far: 0.25
tensor(2.1854, device='cuda:1')
pval: 0.01600000075995922 -- 17th test, time elapsed 2.21341609954834 -- emperical power so far: 0.29411764705882354
tensor(0.9918, device='cuda:1')
pval: 0.09300000220537186 -- 18th test, time elapsed 2.2025339603424072 -- emperical power so far: 0.2777777777777778
tensor(0.4215, device='cuda:1')
pval: 0.21300001442432404 -- 19th test, time elapsed 2.22872257232666 -- emperical power so far: 0.2631578947368421
tensor(-0.6267, device='cuda:1')
pval: 0.8010000586509705 -- 20th test, time elapsed 2.1881203651428223 -- emperical power so far: 0.25
tensor(0.0790, device='cuda:1')
pval: 0.3850000202655792 -- 21th test, time elapsed 2.1990785598754883 -- emperical power so far: 0.23809523809523808
tensor(0.5027, device='cuda:1')
pval: 0.17900000512599945 -- 22th test, time elapsed 2.2295358180999756 -- emperical power so far: 0.22727272727272727
tensor(-0.5036, device='cuda:1')
pval: 0.7070000171661377 -- 23th test, time elapsed 2.1901772022247314 -- emperical power so far: 0.21739130434782608
tensor(-0.4723, device='cuda:1')
pval: 0.6650000214576721 -- 24th test, time elapsed 2.22773814201355 -- emperical power so far: 0.20833333333333334
tensor(0.5242, device='cuda:1')
pval: 0.2070000171661377 -- 25th test, time elapsed 2.208662509918213 -- emperical power so far: 0.2
tensor(-0.2271, device='cuda:1')
pval: 0.5680000185966492 -- 26th test, time elapsed 2.236588954925537 -- emperical power so far: 0.19230769230769232
tensor(-0.1469, device='cuda:1')
pval: 0.49500003457069397 -- 27th test, time elapsed 2.1824936866760254 -- emperical power so far: 0.18518518518518517
tensor(0.4567, device='cuda:1')
pval: 0.20500001311302185 -- 28th test, time elapsed 2.2076165676116943 -- emperical power so far: 0.17857142857142858
tensor(0.8902, device='cuda:1')
pval: 0.0950000062584877 -- 29th test, time elapsed 2.216387987136841 -- emperical power so far: 0.1724137931034483
tensor(0.1124, device='cuda:1')
pval: 0.33400002121925354 -- 30th test, time elapsed 2.205265760421753 -- emperical power so far: 0.16666666666666666
tensor(-0.0064, device='cuda:1')
pval: 0.42900002002716064 -- 31th test, time elapsed 2.1891140937805176 -- emperical power so far: 0.16129032258064516
tensor(-0.7186, device='cuda:1')
pval: 0.862000048160553 -- 32th test, time elapsed 2.2055282592773438 -- emperical power so far: 0.15625
tensor(-0.4250, device='cuda:1')
pval: 0.690000057220459 -- 33th test, time elapsed 2.1909754276275635 -- emperical power so far: 0.15151515151515152
tensor(0.3329, device='cuda:1')
pval: 0.24800001084804535 -- 34th test, time elapsed 2.1995608806610107 -- emperical power so far: 0.14705882352941177
tensor(-0.5957, device='cuda:1')
pval: 0.796000063419342 -- 35th test, time elapsed 2.198155403137207 -- emperical power so far: 0.14285714285714285
tensor(0.8236, device='cuda:1')
pval: 0.13100001215934753 -- 36th test, time elapsed 2.1886374950408936 -- emperical power so far: 0.1388888888888889
tensor(-0.7197, device='cuda:1')
pval: 0.8770000338554382 -- 37th test, time elapsed 2.195314407348633 -- emperical power so far: 0.13513513513513514
tensor(-0.3932, device='cuda:1')
pval: 0.6350000500679016 -- 38th test, time elapsed 2.189091682434082 -- emperical power so far: 0.13157894736842105
tensor(-0.5390, device='cuda:1')
pval: 0.7570000290870667 -- 39th test, time elapsed 2.2091989517211914 -- emperical power so far: 0.1282051282051282
tensor(0.7317, device='cuda:1')
pval: 0.15600000321865082 -- 40th test, time elapsed 2.209930419921875 -- emperical power so far: 0.125
tensor(-0.5093, device='cuda:1')
pval: 0.7480000257492065 -- 41th test, time elapsed 2.2137234210968018 -- emperical power so far: 0.12195121951219512
tensor(0.4436, device='cuda:1')
pval: 0.23000000417232513 -- 42th test, time elapsed 2.1600942611694336 -- emperical power so far: 0.11904761904761904
tensor(0.2068, device='cuda:1')
pval: 0.29600000381469727 -- 43th test, time elapsed 2.2242138385772705 -- emperical power so far: 0.11627906976744186
tensor(0.0676, device='cuda:1')
pval: 0.3960000276565552 -- 44th test, time elapsed 2.2231597900390625 -- emperical power so far: 0.11363636363636363
tensor(0.3607, device='cuda:1')
pval: 0.2510000169277191 -- 45th test, time elapsed 2.197854995727539 -- emperical power so far: 0.1111111111111111
tensor(-0.3487, device='cuda:1')
pval: 0.6140000224113464 -- 46th test, time elapsed 2.254639148712158 -- emperical power so far: 0.10869565217391304
tensor(-0.3501, device='cuda:1')
pval: 0.64000004529953 -- 47th test, time elapsed 2.186016082763672 -- emperical power so far: 0.10638297872340426
tensor(-0.4920, device='cuda:1')
