cuda:0
lapu_ell2
privacy level = 1.0
tensor([0.2100, 0.2900, 0.2100, 0.2900])
tensor([0.2900, 0.2100, 0.2900, 0.2100])


#########################################
sample size = 1000
tensor(0.0481, device='cuda:0')
pval: 0.3020000159740448 -- 1th test, time elapsed 14.11288595199585 -- emperical power so far: 0.0
tensor(0.3161, device='cuda:0')
pval: 0.06599999964237213 -- 2th test, time elapsed 2.1466307640075684 -- emperical power so far: 0.0
tensor(-0.0368, device='cuda:0')
pval: 0.47700002789497375 -- 3th test, time elapsed 2.159639596939087 -- emperical power so far: 0.0
tensor(0.5261, device='cuda:0')
pval: 0.01100000087171793 -- 4th test, time elapsed 2.1356441974639893 -- emperical power so far: 0.25
tensor(-0.0239, device='cuda:0')
pval: 0.46000000834465027 -- 5th test, time elapsed 2.218320846557617 -- emperical power so far: 0.2
tensor(0.5239, device='cuda:0')
pval: 0.018000001087784767 -- 6th test, time elapsed 2.23412823677063 -- emperical power so far: 0.3333333333333333
tensor(-0.2045, device='cuda:0')
pval: 0.9190000295639038 -- 7th test, time elapsed 2.2082955837249756 -- emperical power so far: 0.2857142857142857
tensor(0.5348, device='cuda:0')
pval: 0.015000000596046448 -- 8th test, time elapsed 2.2293920516967773 -- emperical power so far: 0.375
tensor(0.1740, device='cuda:0')
pval: 0.1420000046491623 -- 9th test, time elapsed 2.2153990268707275 -- emperical power so far: 0.3333333333333333
tensor(-0.1684, device='cuda:0')
pval: 0.8320000171661377 -- 10th test, time elapsed 2.2362418174743652 -- emperical power so far: 0.3
tensor(0.0334, device='cuda:0')
pval: 0.36000001430511475 -- 11th test, time elapsed 2.1376824378967285 -- emperical power so far: 0.2727272727272727
tensor(0.7134, device='cuda:0')
pval: 0.007000000216066837 -- 12th test, time elapsed 2.1541807651519775 -- emperical power so far: 0.3333333333333333
tensor(0.2694, device='cuda:0')
pval: 0.08000000566244125 -- 13th test, time elapsed 2.172128677368164 -- emperical power so far: 0.3076923076923077
tensor(0.1854, device='cuda:0')
pval: 0.14300000667572021 -- 14th test, time elapsed 2.146271228790283 -- emperical power so far: 0.2857142857142857
tensor(0.2432, device='cuda:0')
pval: 0.09000000357627869 -- 15th test, time elapsed 2.169989585876465 -- emperical power so far: 0.26666666666666666
tensor(-0.0985, device='cuda:0')
