cuda:0
genrr_chi
privacy level = 1.0
tensor([0.2100, 0.2900, 0.2100, 0.2900])
tensor([0.2900, 0.2100, 0.2900, 0.2100])


#########################################
sample size = 1000
tensor(12.7951, device='cuda:0')
pval: 0.005000000353902578 -- 1th test, time elapsed 12.629953384399414 -- emperical power so far: 1.0
tensor(2.4299, device='cuda:0')
pval: 0.4700000286102295 -- 2th test, time elapsed 1.393239974975586 -- emperical power so far: 0.5
tensor(1.1757, device='cuda:0')
pval: 0.7750000357627869 -- 3th test, time elapsed 1.3985891342163086 -- emperical power so far: 0.3333333333333333
tensor(9.8515, device='cuda:0')
pval: 0.029000001028180122 -- 4th test, time elapsed 1.4181346893310547 -- emperical power so far: 0.5
tensor(3.6361, device='cuda:0')
pval: 0.30000001192092896 -- 5th test, time elapsed 1.4941411018371582 -- emperical power so far: 0.4
tensor(11.0196, device='cuda:0')
pval: 0.010000000707805157 -- 6th test, time elapsed 1.4260456562042236 -- emperical power so far: 0.5
tensor(4.9471, device='cuda:0')
pval: 0.1680000126361847 -- 7th test, time elapsed 1.5572946071624756 -- emperical power so far: 0.42857142857142855
tensor(11.5224, device='cuda:0')
pval: 0.006000000052154064 -- 8th test, time elapsed 1.450359582901001 -- emperical power so far: 0.5
tensor(5.3554, device='cuda:0')
pval: 0.13100001215934753 -- 9th test, time elapsed 1.46699857711792 -- emperical power so far: 0.4444444444444444
tensor(1.3214, device='cuda:0')
pval: 0.7190000414848328 -- 10th test, time elapsed 1.4740123748779297 -- emperical power so far: 0.4
tensor(6.8178, device='cuda:0')
pval: 0.08300000429153442 -- 11th test, time elapsed 1.4939115047454834 -- emperical power so far: 0.36363636363636365
tensor(13.7537, device='cuda:0')
pval: 0.005000000353902578 -- 12th test, time elapsed 1.4790034294128418 -- emperical power so far: 0.4166666666666667
tensor(8.4450, device='cuda:0')
pval: 0.02500000037252903 -- 13th test, time elapsed 1.4584884643554688 -- emperical power so far: 0.46153846153846156
tensor(1.4194, device='cuda:0')
pval: 0.7070000171661377 -- 14th test, time elapsed 1.487454891204834 -- emperical power so far: 0.42857142857142855
tensor(2.0641, device='cuda:0')
pval: 0.5450000166893005 -- 15th test, time elapsed 1.4407975673675537 -- emperical power so far: 0.4
tensor(2.2038, device='cuda:0')
pval: 0.5300000309944153 -- 16th test, time elapsed 1.4177539348602295 -- emperical power so far: 0.375
tensor(2.6360, device='cuda:0')
pval: 0.44200003147125244 -- 17th test, time elapsed 1.6792876720428467 -- emperical power so far: 0.35294117647058826
tensor(5.9770, device='cuda:0')
pval: 0.12300000339746475 -- 18th test, time elapsed 1.4352576732635498 -- emperical power so far: 0.3333333333333333
tensor(5.7782, device='cuda:0')
pval: 0.10300000756978989 -- 19th test, time elapsed 1.3558251857757568 -- emperical power so far: 0.3157894736842105
tensor(2.3171, device='cuda:0')
pval: 0.5200000405311584 -- 20th test, time elapsed 1.3883171081542969 -- emperical power so far: 0.3
tensor(2.6284, device='cuda:0')
pval: 0.48000001907348633 -- 21th test, time elapsed 1.4065203666687012 -- emperical power so far: 0.2857142857142857
tensor(2.8946, device='cuda:0')
pval: 0.4100000262260437 -- 22th test, time elapsed 1.5096585750579834 -- emperical power so far: 0.2727272727272727
tensor(3.2362, device='cuda:0')
pval: 0.3620000183582306 -- 23th test, time elapsed 1.453871250152588 -- emperical power so far: 0.2608695652173913
tensor(12.6776, device='cuda:0')
pval: 0.004000000189989805 -- 24th test, time elapsed 1.3919095993041992 -- emperical power so far: 0.2916666666666667
tensor(3.2241, device='cuda:0')
