cuda:1
genrr_chi
tensor([0.2100, 0.2900, 0.2100, 0.2900])
tensor([0.2900, 0.2100, 0.2900, 0.2100])
tensor(35.5847, device='cuda:1')
pval: 0.0010000000474974513 -- 1th test, time elapsed 16.490885734558105 -- emperical power so far: 1.0
tensor(38.7565, device='cuda:1')
pval: 0.0010000000474974513 -- 2th test, time elapsed 5.875207424163818 -- emperical power so far: 1.0
tensor(17.7418, device='cuda:1')
pval: 0.0020000000949949026 -- 3th test, time elapsed 4.526074171066284 -- emperical power so far: 1.0
tensor(21.2970, device='cuda:1')
pval: 0.0010000000474974513 -- 4th test, time elapsed 4.485798597335815 -- emperical power so far: 1.0
tensor(23.6573, device='cuda:1')
pval: 0.0010000000474974513 -- 5th test, time elapsed 5.359439849853516 -- emperical power so far: 1.0
tensor(38.9194, device='cuda:1')
pval: 0.0010000000474974513 -- 6th test, time elapsed 6.1257195472717285 -- emperical power so far: 1.0
tensor(40.0053, device='cuda:1')
pval: 0.0010000000474974513 -- 7th test, time elapsed 6.0691587924957275 -- emperical power so far: 1.0
tensor(19.2621, device='cuda:1')
pval: 0.0010000000474974513 -- 8th test, time elapsed 5.7898149490356445 -- emperical power so far: 1.0
tensor(11.4873, device='cuda:1')
pval: 0.015000000596046448 -- 9th test, time elapsed 6.169466257095337 -- emperical power so far: 1.0
tensor(22.5664, device='cuda:1')
pval: 0.0010000000474974513 -- 10th test, time elapsed 5.167579650878906 -- emperical power so far: 1.0
tensor(20.5938, device='cuda:1')
pval: 0.0010000000474974513 -- 11th test, time elapsed 6.201931715011597 -- emperical power so far: 1.0
tensor(40.1228, device='cuda:1')
pval: 0.0010000000474974513 -- 12th test, time elapsed 6.215665578842163 -- emperical power so far: 1.0
tensor(30.9506, device='cuda:1')
pval: 0.0010000000474974513 -- 13th test, time elapsed 6.008795261383057 -- emperical power so far: 1.0
tensor(24.3810, device='cuda:1')
pval: 0.0010000000474974513 -- 14th test, time elapsed 5.9373321533203125 -- emperical power so far: 1.0
tensor(33.3232, device='cuda:1')
pval: 0.0010000000474974513 -- 15th test, time elapsed 6.02675724029541 -- emperical power so far: 1.0
tensor(33.5323, device='cuda:1')
pval: 0.0010000000474974513 -- 16th test, time elapsed 5.840219259262085 -- emperical power so far: 1.0
tensor(12.8110, device='cuda:1')
pval: 0.01100000087171793 -- 17th test, time elapsed 5.9184794425964355 -- emperical power so far: 1.0
tensor(22.8883, device='cuda:1')
pval: 0.0010000000474974513 -- 18th test, time elapsed 5.960805416107178 -- emperical power so far: 1.0
tensor(15.9250, device='cuda:1')
pval: 0.0020000000949949026 -- 19th test, time elapsed 5.847576856613159 -- emperical power so far: 1.0
tensor(18.7321, device='cuda:1')
pval: 0.0010000000474974513 -- 20th test, time elapsed 5.427524089813232 -- emperical power so far: 1.0
tensor(41.4693, device='cuda:1')
pval: 0.0010000000474974513 -- 21th test, time elapsed 5.812877416610718 -- emperical power so far: 1.0
tensor(15.7258, device='cuda:1')
pval: 0.003000000026077032 -- 22th test, time elapsed 5.92072319984436 -- emperical power so far: 1.0
tensor(35.9210, device='cuda:1')
pval: 0.0010000000474974513 -- 23th test, time elapsed 5.394696950912476 -- emperical power so far: 1.0
tensor(56.6095, device='cuda:1')
pval: 0.0010000000474974513 -- 24th test, time elapsed 5.900405645370483 -- emperical power so far: 1.0
tensor(31.6436, device='cuda:1')
pval: 0.0010000000474974513 -- 25th test, time elapsed 6.121492147445679 -- emperical power so far: 1.0
tensor(20.0279, device='cuda:1')
pval: 0.0010000000474974513 -- 26th test, time elapsed 5.460526466369629 -- emperical power so far: 1.0
tensor(21.7323, device='cuda:1')
pval: 0.0010000000474974513 -- 27th test, time elapsed 5.011590957641602 -- emperical power so far: 1.0
tensor(17.9958, device='cuda:1')
pval: 0.0020000000949949026 -- 28th test, time elapsed 4.5479466915130615 -- emperical power so far: 1.0
tensor(24.3801, device='cuda:1')
pval: 0.0010000000474974513 -- 29th test, time elapsed 4.493005990982056 -- emperical power so far: 1.0
tensor(14.5995, device='cuda:1')
pval: 0.004000000189989805 -- 30th test, time elapsed 4.483516454696655 -- emperical power so far: 1.0
tensor(17.6332, device='cuda:1')
pval: 0.0010000000474974513 -- 31th test, time elapsed 6.095692157745361 -- emperical power so far: 1.0
tensor(17.1099, device='cuda:1')
pval: 0.0010000000474974513 -- 32th test, time elapsed 6.184679985046387 -- emperical power so far: 1.0
tensor(27.2251, device='cuda:1')
pval: 0.0010000000474974513 -- 33th test, time elapsed 5.995750904083252 -- emperical power so far: 1.0
tensor(19.4549, device='cuda:1')
pval: 0.0010000000474974513 -- 34th test, time elapsed 6.0512590408325195 -- emperical power so far: 1.0
tensor(13.8664, device='cuda:1')
pval: 0.006000000052154064 -- 35th test, time elapsed 5.932667970657349 -- emperical power so far: 1.0
tensor(13.6958, device='cuda:1')
pval: 0.005000000353902578 -- 36th test, time elapsed 6.247053384780884 -- emperical power so far: 1.0
tensor(46.0765, device='cuda:1')
pval: 0.0010000000474974513 -- 37th test, time elapsed 6.096501588821411 -- emperical power so far: 1.0
tensor(34.2176, device='cuda:1')
pval: 0.0010000000474974513 -- 38th test, time elapsed 6.058690071105957 -- emperical power so far: 1.0
tensor(13.6961, device='cuda:1')
pval: 0.006000000052154064 -- 39th test, time elapsed 4.501338243484497 -- emperical power so far: 1.0
tensor(22.6005, device='cuda:1')
pval: 0.0010000000474974513 -- 40th test, time elapsed 4.517297983169556 -- emperical power so far: 1.0
tensor(40.0564, device='cuda:1')
pval: 0.0010000000474974513 -- 41th test, time elapsed 4.523661375045776 -- emperical power so far: 1.0
tensor(22.2234, device='cuda:1')
pval: 0.0010000000474974513 -- 42th test, time elapsed 5.417849063873291 -- emperical power so far: 1.0
tensor(16.6517, device='cuda:1')
pval: 0.003000000026077032 -- 43th test, time elapsed 5.470990419387817 -- emperical power so far: 1.0
tensor(9.2747, device='cuda:1')
pval: 0.023000001907348633 -- 44th test, time elapsed 6.0407795906066895 -- emperical power so far: 1.0
tensor(24.0056, device='cuda:1')
pval: 0.0010000000474974513 -- 45th test, time elapsed 4.698760271072388 -- emperical power so far: 1.0
tensor(13.7048, device='cuda:1')
pval: 0.006000000052154064 -- 46th test, time elapsed 4.623601675033569 -- emperical power so far: 1.0
tensor(26.3954, device='cuda:1')
pval: 0.0010000000474974513 -- 47th test, time elapsed 4.6818766593933105 -- emperical power so far: 1.0
tensor(9.4144, device='cuda:1')
pval: 0.030000001192092896 -- 48th test, time elapsed 5.823834419250488 -- emperical power so far: 1.0
tensor(10.7161, device='cuda:1')
pval: 0.017000000923871994 -- 49th test, time elapsed 5.980863571166992 -- emperical power so far: 1.0
tensor(37.2705, device='cuda:1')
pval: 0.0010000000474974513 -- 50th test, time elapsed 6.301596403121948 -- emperical power so far: 1.0
tensor(9.2713, device='cuda:1')
pval: 0.02800000086426735 -- 51th test, time elapsed 6.218502044677734 -- emperical power so far: 1.0
tensor(9.8111, device='cuda:1')
pval: 0.01900000125169754 -- 52th test, time elapsed 6.267518520355225 -- emperical power so far: 1.0
tensor(22.8412, device='cuda:1')
pval: 0.0010000000474974513 -- 53th test, time elapsed 4.731233358383179 -- emperical power so far: 1.0
tensor(25.4371, device='cuda:1')
