cuda:0
lapu_ell2
tensor([0.2000, 0.3000, 0.2000, 0.3000])
tensor([0.3000, 0.2000, 0.3000, 0.2000])
tensor(0.2117, device='cuda:0')
pval: 0.004000000189989805 -- 1th test, time elapsed 16.697659254074097 -- emperical power so far: 1.0
tensor(0.1527, device='cuda:0')
pval: 0.01100000087171793 -- 2th test, time elapsed 5.138546705245972 -- emperical power so far: 1.0
tensor(0.0845, device='cuda:0')
pval: 0.07100000232458115 -- 3th test, time elapsed 5.107343435287476 -- emperical power so far: 0.6666666666666666
tensor(0.2634, device='cuda:0')
pval: 0.0020000000949949026 -- 4th test, time elapsed 5.1192028522491455 -- emperical power so far: 0.75
tensor(0.1063, device='cuda:0')
pval: 0.032999999821186066 -- 5th test, time elapsed 5.1118693351745605 -- emperical power so far: 0.8
tensor(0.2091, device='cuda:0')
pval: 0.004000000189989805 -- 6th test, time elapsed 5.074674367904663 -- emperical power so far: 0.8333333333333334
tensor(0.2728, device='cuda:0')
pval: 0.0010000000474974513 -- 7th test, time elapsed 5.084614276885986 -- emperical power so far: 0.8571428571428571
tensor(0.0831, device='cuda:0')
pval: 0.0690000057220459 -- 8th test, time elapsed 5.1315083503723145 -- emperical power so far: 0.75
tensor(-0.0646, device='cuda:0')
pval: 0.9920000433921814 -- 9th test, time elapsed 5.073570013046265 -- emperical power so far: 0.6666666666666666
tensor(-0.0303, device='cuda:0')
pval: 0.7300000190734863 -- 10th test, time elapsed 5.072924613952637 -- emperical power so far: 0.6
tensor(0.1237, device='cuda:0')
pval: 0.023000001907348633 -- 11th test, time elapsed 5.113032102584839 -- emperical power so far: 0.6363636363636364
tensor(0.4469, device='cuda:0')
pval: 0.0010000000474974513 -- 12th test, time elapsed 5.098515748977661 -- emperical power so far: 0.6666666666666666
tensor(0.2081, device='cuda:0')
pval: 0.005000000353902578 -- 13th test, time elapsed 5.114967107772827 -- emperical power so far: 0.6923076923076923
tensor(0.2661, device='cuda:0')
pval: 0.004000000189989805 -- 14th test, time elapsed 5.137799263000488 -- emperical power so far: 0.7142857142857143
tensor(0.0706, device='cuda:0')
pval: 0.08500000089406967 -- 15th test, time elapsed 5.09782338142395 -- emperical power so far: 0.6666666666666666
tensor(0.2603, device='cuda:0')
pval: 0.0010000000474974513 -- 16th test, time elapsed 5.091506719589233 -- emperical power so far: 0.6875
tensor(0.2374, device='cuda:0')
pval: 0.0020000000949949026 -- 17th test, time elapsed 5.113786935806274 -- emperical power so far: 0.7058823529411765
tensor(0.1471, device='cuda:0')
pval: 0.012000000104308128 -- 18th test, time elapsed 5.117609024047852 -- emperical power so far: 0.7222222222222222
tensor(0.1677, device='cuda:0')
pval: 0.010000000707805157 -- 19th test, time elapsed 5.0928661823272705 -- emperical power so far: 0.7368421052631579
tensor(0.1396, device='cuda:0')
pval: 0.01900000125169754 -- 20th test, time elapsed 5.087270736694336 -- emperical power so far: 0.75
tensor(0.0545, device='cuda:0')
pval: 0.10200000554323196 -- 21th test, time elapsed 5.163030385971069 -- emperical power so far: 0.7142857142857143
tensor(0.1244, device='cuda:0')
pval: 0.02500000037252903 -- 22th test, time elapsed 5.156507253646851 -- emperical power so far: 0.7272727272727273
tensor(0.1959, device='cuda:0')
pval: 0.010000000707805157 -- 23th test, time elapsed 5.129060745239258 -- emperical power so far: 0.7391304347826086
tensor(0.2620, device='cuda:0')
pval: 0.0010000000474974513 -- 24th test, time elapsed 5.076360464096069 -- emperical power so far: 0.75
tensor(0.1787, device='cuda:0')
pval: 0.010000000707805157 -- 25th test, time elapsed 5.071542501449585 -- emperical power so far: 0.76
tensor(0.0680, device='cuda:0')
pval: 0.09700000286102295 -- 26th test, time elapsed 5.100653409957886 -- emperical power so far: 0.7307692307692307
tensor(0.0582, device='cuda:0')
pval: 0.11300000548362732 -- 27th test, time elapsed 5.071925401687622 -- emperical power so far: 0.7037037037037037
tensor(0.0335, device='cuda:0')
pval: 0.20200000703334808 -- 28th test, time elapsed 5.12624454498291 -- emperical power so far: 0.6785714285714286
tensor(0.1119, device='cuda:0')
pval: 0.032999999821186066 -- 29th test, time elapsed 5.13008189201355 -- emperical power so far: 0.6896551724137931
tensor(0.1921, device='cuda:0')
pval: 0.006000000052154064 -- 30th test, time elapsed 5.113425970077515 -- emperical power so far: 0.7
tensor(0.2338, device='cuda:0')
pval: 0.0020000000949949026 -- 31th test, time elapsed 5.083439826965332 -- emperical power so far: 0.7096774193548387
